YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631133	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.5269695	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314047	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.0000000	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995508	0.3499607	0.0341306	0.8691947	0.9749319	0.8213616	0.4087140	0.9752593	0.5107250	0.2068738	0.8980450	0.2427188	0.5322029	0.2008277	0.5702095	0.5036704	0.9946722	0.1878540	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0617713	1.0000000	0.1110869	1.0000000	0.4281036	1.0000000	0.9901847	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.9977374	1.0000000	0.7254674	0.4712846	1.0000000	0.0293115	0.7312728	0.7363909	1.0000000	1.0000000	1.0000000	0.0038122	0.3002829	0.0014905	0.0000000	0.0640811	0.6372060	1.0000000	0.0000000	1.0000000	0.8398801	0.1578499	0.7275216	1.0000000	1.0000000	1.0000000	0.7949672	0.7264354	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948652	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230405	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995531	0.8279384	0.3953658	0.9999943	0.9852446	0.9958082	0.4881115	0.9845867	0.5107206	0.0608628	0.8980438	0.5928364	0.5283474	0.1218066	0.5711970	0.4986406	0.9903281	0.0452166	0.7760602	0.9966666
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0412682	1.0000000	0.1110869	1.0000000	0.5126889	1.0000000	0.9901852	0.0821090	1.0000000	0.6438811	0.3382153	1.0000000	0.9950517	1.0000000	0.7085587	0.3083594	1.0000000	0.2688850	0.3355224	0.7363909	1.0000000	1.0000000	1.0000000	0.1895738	0.3002834	0.0000000	0.5339247	0.0640811	0.6371995	1.0000000	0.5533525	1.0000000	0.8398801	0.1578485	0.7275234	1.0000000	1.0000000	1.0000000	0.7949672	0.7264347	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948654	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230441	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	0.0000000	1.0000000	0.9995578	0.1433756	0.4292174	0.9999741	0.8101421	0.9897133	0.4881438	0.9693510	0.5107204	0.2331427	0.8676433	0.4407220	0.5283474	0.5670323	0.5711643	0.6507897	0.9999973	0.1507856	0.7650509	0.9966664
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631077	1.0000000	0.1110869	1.0000000	0.8025683	1.0000000	0.9901847	0.2993115	1.0000000	0.1938460	0.3382153	1.0000000	0.5269695	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314047	0.7363909	1.0000000	1.0000000	1.0000000	0.0038122	0.3002829	0.0014905	0.0000000	0.0640811	0.6372060	1.0000000	0.5533525	1.0000000	0.8398801	0.1578499	0.7275216	1.0000000	1.0000000	1.0000000	0.7949672	0.7264354	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948652	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230405	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995566	0.2815475	0.3953658	0.8797683	0.7953062	0.8213348	0.4881115	0.9845867	0.5107206	0.3478728	0.8980438	0.4531813	0.5283474	0.1218066	0.5765148	0.7255410	0.9903281	0.1061794	0.7794421	0.9966666
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	1.0000000	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2993108	1.0000000	0.1938460	0.3382153	1.0000000	0.5270889	1.0000000	0.6945268	0.0000000	1.0000000	0.0289986	0.7313109	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.0000010	0.0159513	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995599	0.1336807	0.0341306	0.8790021	0.7742821	0.7852710	0.4087140	0.9752593	0.5107250	0.4495249	0.8980450	0.1809935	0.5322029	0.2008277	0.5753813	0.5747686	0.9887449	0.2977092	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631131	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.4757808	1.0000000	0.1938460	0.3382153	1.0000000	0.0209489	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314046	0.0000000	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994740	0.0682573	0.0341306	0.8789957	0.7742821	0.8213618	0.4087140	0.9752593	0.5107250	0.4495256	0.8980450	0.2427188	0.5322029	0.2008277	0.5743909	0.6364213	0.9946722	0.5762441	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0785045	1.0000000	0.1110869	1.0000000	0.7852631	1.0000000	0.0944448	0.3414419	1.0000000	0.1938460	0.3382153	1.0000000	0.0191332	0.0000000	0.0072220	0.1009160	1.0000000	0.0202176	0.7320789	0.0000000	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313410	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994740	0.0702783	0.0512760	0.9980397	0.7742918	0.9255931	0.4087140	0.9752591	0.5403049	0.1565355	0.8980450	0.5928370	0.5322029	0.2008277	0.5746156	0.5488143	0.9946722	0.8918624	0.9989788	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0785024	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.5259334	0.0000000	0.0072221	0.0000000	1.0000000	0.0202177	0.7320785	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995574	0.0682573	0.0341306	0.8789963	0.7742821	0.8213621	0.4087140	0.9752593	0.5403049	0.4495254	0.8980450	0.4531820	0.5322029	0.2008277	0.5743909	0.5747683	0.9946722	0.6110065	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0619622	1.0000000	0.1110869	1.0000000	0.4954790	1.0000000	0.9901851	0.0712191	1.0000000	0.1938460	0.3382153	1.0000000	0.9948656	1.0000000	0.7085592	0.3083599	1.0000000	0.0291452	0.7312932	0.7363909	1.0000000	1.0000000	1.0000000	0.1895754	0.3002829	0.0000003	0.5339248	0.0640811	0.6372057	1.0000000	0.5533525	1.0000000	0.8398801	0.1578499	0.7275216	1.0000000	1.0000000	1.0000000	0.7949672	0.7264354	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948652	0.3281116	0.8715593	0.0000000	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230406	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995578	0.1433785	0.3953658	0.9999720	0.7914460	0.9897122	0.4881449	0.9749249	0.5107206	0.2331426	0.8980438	0.4407230	0.5283474	0.1217919	0.5753284	0.6507882	0.9903281	0.1507842	0.7785491	0.9949871
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631060	1.0000000	0.1110869	1.0000000	0.8190299	0.0000000	0.0628811	0.2994524	1.0000000	0.1938460	0.3382153	1.0000000	0.5270061	1.0000000	0.6287132	0.0000001	1.0000000	0.0281958	0.7314029	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9469066	0.0680347	0.0361041	0.8790132	0.7742821	0.8213702	0.4087140	0.9752593	0.5107250	0.4495228	0.8980450	0.1767521	0.5322029	0.2008277	0.5743910	0.6633986	0.9946722	0.2977092	0.9989906	0.9966665
