G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	
G1	0.300375	0.000000	0.000000	0.000000	-0.797205	0.000000	-0.184176	0.000000	0.000000	-0.119831	
G2	0.000000	1.073391	0.000000	-0.412678	-0.194416	0.000000	0.000000	0.000000	0.000000	-0.164656	
G3	-0.290620	0.000000	1.084437	0.000000	0.000000	0.000000	0.000000	-0.225950	0.000000	-0.237147	
G4	-0.220062	0.000000	-0.562361	0.923964	0.000000	0.000000	0.000000	0.000000	0.000000	-0.244201	
G5	0.000000	0.000000	0.000000	0.000000	0.455071	0.000000	-0.193086	0.000000	0.107036	-0.275649	
G6	-0.159466	-0.786795	0.000000	-0.406662	0.000000	0.983786	0.000000	0.000000	0.000000	0.000000	
G7	0.000000	0.000000	0.000000	-0.258573	0.000000	-0.371055	0.835766	-0.452264	0.000000	0.000000	
G8	-0.219267	-0.510982	0.000000	0.000000	0.000000	-0.753563	0.000000	0.637118	0.000000	0.000000	
G9	-0.347982	0.000000	0.000000	-0.401725	0.000000	0.000000	0.000000	-0.398264	0.885740	0.000000	
G10	0.000000	0.000000	-0.320825	0.000000	0.000000	0.000000	-0.154584	0.000000	-0.707308	0.926592	
