G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	
G1	0.553363	0.000000	0.000000	0.000000	0.121734	0.000000	0.000000	0.129743	0.000000	0.000000	0.000000	0.000000	0.000000	0.158233	0.000000	0.119289	0.000000	0.077723	0.000000	0.000000	0.000000	0.000000	0.000000	-0.157990	0.000000	-0.251862	0.129048	0.000000	0.305980	0.000000	-0.132768	0.000000	0.000000	0.000000	0.000000	0.000000	0.137900	0.033311	0.000000	0.000000	0.000000	0.050413	0.000000	0.000000	0.115853	0.000000	0.000000	-0.106029	0.000000	0.000000	0.000000	-0.195401	0.086087	0.212093	0.000000	0.165549	0.000000	0.000000	0.034941	0.258597	0.000000	-0.331457	0.000000	0.000000	-0.119663	-0.129682	0.000000	0.000000	0.000000	0.000000	-0.350312	0.000000	0.000000	0.000000	0.000000	0.060117	0.087057	0.000000	-0.254462	0.092771	0.000000	0.000000	-0.226782	0.074059	0.000000	0.000000	-0.173564	0.000000	0.150552	0.065687	0.081553	0.000000	0.131942	-0.081950	-0.256227	0.000000	0.000000	-0.045422	0.000000	0.000000	
G2	0.000000	0.769589	0.115722	0.000000	0.000000	0.051737	0.000000	0.000000	0.000000	-0.327594	0.000000	0.000000	0.000000	0.000000	0.179732	-0.104066	0.000000	-0.089369	0.000000	0.121567	0.000000	0.000000	-0.294091	0.000000	0.000000	0.000000	0.000000	0.000000	-0.276460	0.091365	0.000000	0.000000	0.189431	-0.179106	0.075020	-0.150901	0.000000	-0.157659	0.000000	0.142911	0.167240	0.000000	0.000000	0.000000	-0.159290	0.000000	0.000000	-0.113518	-0.206728	0.000000	0.000000	0.000000	-0.106291	-0.066745	0.000000	-0.089286	0.000000	0.166151	0.158482	0.000000	0.000000	0.000000	0.165976	0.191381	0.000000	-0.065826	-0.077815	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092811	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.101381	-0.164376	0.000000	0.000000	-0.258424	0.000000	0.000000	0.000000	0.000000	0.000000	0.105874	0.000000	0.120266	0.000000	0.000000	0.090038	0.223772	-0.077205	0.136940	0.000000	
G3	0.000000	0.000000	0.764751	-0.179777	-0.003280	0.225357	0.024351	0.000000	0.000000	-0.051151	0.000000	-0.106637	0.133856	0.000000	0.000000	0.000000	0.000000	0.124275	0.159465	0.000000	0.000000	0.000000	0.000000	0.000000	-0.258066	0.000000	0.000000	0.000000	0.000000	-0.044742	-0.064682	-0.114785	0.000000	0.000000	0.000000	0.074027	0.000000	0.000000	0.189160	0.000000	0.107440	0.000000	0.000000	-0.158272	0.103571	0.000000	0.000000	0.000000	-0.047453	-0.103935	0.137245	0.000000	-0.165202	-0.215909	0.000000	-0.082584	0.000000	0.000000	0.000000	0.000000	0.000000	0.254133	0.000000	-0.249901	0.000000	0.046557	0.000000	-0.042184	-0.107136	0.000000	-0.135873	0.000000	0.146991	0.000000	0.000000	0.000000	0.000000	0.000000	-0.146616	0.000000	0.000000	-0.099045	0.000000	-0.175082	0.000000	0.000000	-0.109847	0.000000	0.000000	0.000000	0.000000	0.000000	0.026616	0.000000	0.000000	0.000000	-0.066028	-0.002566	0.000000	-0.082462	
G4	-0.154815	0.000000	0.182190	0.780865	-0.253058	-0.124349	-0.078048	0.000000	0.000000	0.000000	0.000000	0.145505	0.206207	0.000000	0.000000	0.111344	0.082260	-0.139951	0.000000	0.000000	0.126485	-0.195058	0.000000	-0.248028	-0.256097	0.000000	0.134161	0.000000	0.186150	0.000000	-0.122463	0.000000	0.000000	0.000000	0.000000	0.108258	0.000000	-0.210061	0.000000	0.000000	0.000000	0.060840	0.083920	-0.132480	0.000000	0.000000	0.099622	0.000000	-0.094407	0.182987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.235809	0.000000	0.119323	0.000000	0.000000	0.079122	0.000000	0.106634	0.000000	-0.114678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.136696	-0.121350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.096923	-0.094762	0.000000	-0.324754	0.000000	0.000000	0.000000	0.069515	0.000000	0.000000	-0.052952	0.000000	0.000000	-0.108516	0.072758	0.000000	
G5	0.000000	0.000000	0.044554	0.035840	0.078109	-0.310420	0.022534	0.000000	0.000000	-0.013070	-0.113250	0.000000	-0.207116	-0.294905	-0.474643	0.000000	0.000000	0.000000	-0.143701	0.000000	0.040450	0.018501	0.000000	0.000000	0.000000	0.000000	-0.021452	0.027556	0.000000	0.000000	-0.016680	0.018357	-0.046533	0.000000	0.003921	-0.045039	0.000000	0.091687	0.046556	0.000000	-0.009257	0.000000	0.000000	0.047445	0.000000	0.000000	-0.021654	0.000000	0.000000	-0.055145	0.009340	0.000000	-0.016727	0.000000	0.000000	0.004076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.022719	0.027752	0.000000	0.000000	-0.026511	0.000000	0.000000	0.000000	-0.034356	-0.019160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035964	0.000000	0.000000	0.062701	0.000000	0.000000	-0.021477	0.000000	0.024793	0.000000	-0.025956	0.000000	0.000000	-0.043257	0.000000	0.000000	0.000000	
G6	0.000000	0.000000	0.107492	0.327743	0.000000	0.184214	-0.123233	0.000000	0.000000	0.158554	0.000000	0.000000	0.000000	0.000000	0.000000	0.198675	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.196783	0.192446	-0.046145	0.000000	0.000000	-0.091322	0.000000	0.000000	0.079873	0.000000	0.000000	-0.078525	0.000000	-0.074163	0.000000	0.176635	0.000000	0.000000	0.000000	0.052701	0.000000	0.000000	-0.144239	0.000000	0.000000	0.000000	0.116856	0.000000	-0.141943	0.142161	0.104771	0.000000	-0.130768	0.000000	-0.186894	0.201631	-0.170082	-0.139586	0.000000	0.000000	0.000000	0.000000	0.191543	0.000000	0.000000	0.079141	0.000000	0.000000	0.000000	0.000000	0.000000	0.157127	0.000000	-0.104458	0.000000	0.000000	0.128968	0.000000	-0.164188	-0.129596	0.261213	-0.119648	-0.134361	0.000000	0.000000	0.000000	-0.142785	0.000000	0.000000	0.000000	0.000000	0.000000	-0.106929	-0.205668	-0.217988	0.132098	0.000000	0.000000	
G7	0.000000	0.000000	-0.147750	0.000000	-0.228346	0.159177	0.498044	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.188544	0.000000	0.000000	0.136053	0.000000	0.000000	0.000000	-0.170990	-0.145119	-0.157370	0.000000	0.000000	0.000000	0.000000	-0.159138	0.201625	0.000000	0.277570	-0.122120	0.000000	0.000000	0.000000	-0.117900	0.000000	0.000000	0.000000	-0.108417	0.098548	-0.104410	-0.102643	-0.137913	0.000000	0.160907	0.000000	0.000000	0.000000	-0.060341	0.129091	0.000000	-0.133298	0.000000	0.000000	0.000000	0.133683	0.000000	0.000000	0.173866	0.121864	0.138485	0.000000	0.000000	0.000000	0.120989	0.000000	-0.098923	0.000000	0.000000	0.103292	0.175305	0.000000	0.000000	0.110533	0.000000	0.116213	0.000000	0.000000	0.000000	-0.160360	0.352312	0.000000	0.000000	0.000000	0.098376	0.000000	0.023062	0.000000	0.000000	0.000000	0.000000	-0.202776	-0.081295	-0.116191	0.000000	0.000000	0.000000	
G8	-0.281574	0.000000	-0.056087	0.000000	-0.001730	0.000000	0.000000	0.762080	0.000000	-0.110958	-0.105559	0.137214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.074769	0.000000	0.036601	-0.220312	-0.087334	0.094580	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.089755	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.132807	0.071107	0.000000	0.060557	0.000000	0.000000	0.100254	-0.167114	0.063316	0.000000	-0.125444	0.069799	0.000000	0.220350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.124488	0.000000	0.000000	-0.135598	0.000000	0.000000	0.000000	0.138444	-0.164072	0.069737	0.000000	0.000000	-0.060625	0.000000	0.163407	0.000000	-0.139044	0.000000	-0.093803	0.000000	-0.106164	0.117305	-0.246242	-0.183836	-0.124954	0.000000	0.000000	-0.043116	-0.092556	0.000000	0.030111	0.000000	-0.116001	0.000000	0.000000	
G9	0.000000	0.244143	0.000000	0.000000	-0.120842	0.000000	0.103657	-0.156790	0.174780	-0.129015	0.000000	0.000000	0.115036	0.000000	-0.095537	0.156282	-0.107359	0.000000	0.000000	0.000000	0.000000	0.099304	0.000000	0.210975	0.000000	-0.145854	-0.123133	0.000000	0.000000	0.129851	0.000000	-0.132512	0.000000	0.000000	0.000000	0.000000	-0.155550	-0.184882	-0.194854	0.000000	0.000000	0.000000	0.000000	0.166832	0.054766	0.000000	0.000000	0.109736	0.000000	-0.244805	0.000000	0.000000	-0.086448	0.000000	0.000000	0.191246	0.000000	-0.164124	0.000000	0.000000	0.000000	-0.304240	0.156713	0.000000	0.172593	0.081090	0.167596	0.000000	0.000000	0.000000	-0.217222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.213908	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.119470	0.000000	0.000000	0.000000	0.119503	0.000000	-0.124524	0.000000	0.105138	0.000000	0.103599	-0.151264	-0.075979	0.000000	
G10	0.076957	-0.097415	0.092327	0.000000	0.000000	0.000000	-0.058236	0.104970	0.000000	0.516932	0.000000	0.000000	0.130387	0.000000	0.000000	0.000000	0.188600	0.061933	0.000000	0.000000	0.000000	0.000000	0.000000	0.095410	-0.113335	-0.097454	0.132457	0.000000	-0.160439	0.000000	0.131152	0.000000	0.000000	0.000000	0.000000	-0.167308	0.000000	-0.154900	0.000000	0.000000	0.000000	0.000000	0.165682	-0.038203	-0.070725	-0.143784	0.000000	0.000000	0.000000	0.000000	0.000000	-0.129898	0.089718	0.000000	-0.131703	0.077284	0.000000	0.000000	0.116654	0.000000	-0.194567	0.000000	0.045564	0.000000	0.000000	0.000000	0.000000	-0.174605	-0.040058	0.000000	-0.169501	0.191183	0.000000	0.000000	0.000000	0.000000	-0.406439	0.161393	0.000000	0.000000	-0.050575	0.000000	0.000000	0.000000	0.000000	-0.135265	0.131602	0.000000	0.000000	0.073205	0.000000	0.000000	-0.058224	-0.058812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
