0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
G1	0.4709019	0.4737089	0.3226906	0.4924104	0.3625412	0.6025894	0.5320543	0.5144497	0.5141182	0.4938296	0.6502357	0.5452380	0.3954532	0.6108881	0.5294197	0.5148108	0.5066313	0.5022782	0.4674841	0.5720073	0.5700369
G2	0.3299819	0.0168576	0.0241522	0.0244184	0.0063655	0.0187761	0.0215516	0.0102312	0.0177062	0.0451558	0.0283562	0.1457990	0.2140596	0.2034551	0.2345204	0.0937279	0.2262071	0.2123819	0.2040744	0.2426967	0.2675143
G3	0.7040502	0.7207687	0.8021447	0.8015185	0.7361012	0.7455967	0.9177003	0.7302604	0.6888937	0.7870440	0.7077184	0.7097130	0.6644276	0.7327272	0.8355864	0.6912332	0.6350953	0.6698353	0.6652027	0.6494893	0.5296093
G4	0.2018515	0.1372178	0.1677189	0.2389790	0.1775339	0.1587934	0.2421515	0.2404173	0.2095256	0.1791999	0.2271433	0.2392078	0.1672371	0.1616972	0.2225591	0.1855019	0.1587899	0.1874549	0.1968960	0.2310034	0.1415191
G5	0.8107961	0.7739107	0.5622387	0.4723150	0.4394586	0.5135510	0.5183638	0.4370926	0.5260519	0.6455515	0.5776468	0.6369948	0.6804871	0.6550436	0.7306806	0.8636492	0.7328743	0.8082702	0.6848888	0.9326042	0.8579292
G6	0.7951616	0.6297220	0.7343259	0.7385587	0.7619846	0.5969962	0.6688329	0.6397486	0.8408916	0.7474490	0.7099279	0.6907857	0.7734260	0.7430151	0.8083430	0.8435287	0.6489504	0.7018568	0.7473051	0.7922420	0.8587381
G7	0.4951452	0.2676792	0.3796810	0.3920733	0.3473895	0.3773892	0.3500503	0.2992305	0.3134059	0.2930759	0.4036699	0.2904186	0.2582079	0.3171609	0.2631779	0.3129751	0.3057842	0.3799371	0.2688429	0.4712139	0.2632433
G8	0.7044625	0.6785776	0.6633409	0.7568115	0.6528970	0.5522283	0.5665641	0.5722981	0.5850315	0.5779655	0.5345205	0.7178295	0.7466076	0.6956378	0.6596694	0.9180427	0.7058433	0.7197437	0.6282012	0.6643997	0.8686749
G9	0.6254563	0.7916026	0.6128770	0.7245692	0.6681400	0.8337899	0.7411189	0.7030678	0.7472401	0.7352161	0.7239160	0.6873467	0.7384483	0.6920337	0.7267675	0.7087798	0.5954455	0.6500155	0.6393960	0.7496678	0.5911305
G10	0.8589399	0.7186392	0.6630085	0.6495283	0.8957707	0.6213419	0.7492313	0.8016498	0.8222670	0.7637959	0.9012818	0.6306143	0.7258023	0.6515752	0.8248601	0.7308288	0.7786585	0.7273827	0.7341824	0.8287499	0.7183661
