G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	
G1	0.565400	0.000000	0.000000	0.000000	0.076578	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.202561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.237231	0.100477	0.000000	0.255820	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.124572	0.134909	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.110588	0.000000	0.000000	-0.103514	0.000000	0.000000	0.000000	-0.202059	0.104008	0.227410	0.000000	0.134607	0.000000	0.000000	0.000000	0.307311	0.000000	-0.375282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.328521	0.000000	0.000000	0.000000	0.000000	0.084229	0.147299	0.000000	-0.173101	0.000000	0.000000	0.000000	-0.177479	0.000000	0.000000	0.000000	-0.198269	0.000000	0.000000	0.000000	0.080338	0.000000	0.077098	0.000000	-0.270490	0.000000	0.000000	0.000000	0.000000	0.000000	
G2	0.000000	0.748931	0.144108	0.000000	0.000000	0.101365	0.000000	0.000000	0.000000	-0.328366	0.000000	0.000000	0.000000	0.000000	0.159225	0.000000	0.000000	-0.084463	0.000000	0.153169	0.153451	0.000000	-0.302904	0.000000	0.000000	0.000000	0.000000	0.000000	-0.279247	0.000000	0.000000	0.000000	0.000000	0.000000	0.115883	-0.163318	0.000000	-0.185791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.142279	0.000000	0.000000	0.000000	-0.197173	0.000000	0.000000	-0.081317	-0.094494	0.000000	0.000000	0.000000	0.000000	0.000000	0.203776	0.000000	0.000000	0.000000	0.166912	0.190548	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.146675	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.219877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.089022	0.000000	0.000000	0.170090	0.222385	0.000000	0.000000	0.000000	
G3	0.000000	0.000000	0.751361	-0.165354	-0.048147	0.262422	0.000000	0.000000	0.000000	-0.075368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.116713	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.241440	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050542	0.000000	0.000000	0.211947	0.000000	0.000000	0.000000	0.000000	-0.182725	0.084824	0.000000	0.000000	0.000000	0.000000	0.000000	0.135656	0.000000	-0.149180	-0.241653	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.259587	0.000000	-0.273045	0.000000	0.000000	0.000000	0.000000	-0.123945	0.000000	-0.146530	0.000000	0.123108	0.000000	0.000000	0.000000	0.000000	0.000000	-0.123514	0.000000	0.000000	-0.167220	0.000000	-0.155594	0.000000	0.000000	-0.093801	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020959	0.000000	-0.076227	
G4	-0.180005	0.000000	0.132676	0.832399	-0.204864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.160255	0.204369	0.000000	0.000000	0.125206	0.000000	-0.117597	0.000000	0.000000	0.139056	-0.168032	0.000000	-0.211404	-0.245552	0.000000	0.098966	0.000000	0.213640	0.000000	-0.098821	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.202189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095928	0.000000	0.000000	0.172202	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.163188	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.083893	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.175127	-0.124158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.296364	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.125130	0.070251	0.000000	
G5	0.000000	0.000000	0.042845	0.017369	0.065345	-0.366822	0.026316	0.000000	0.000000	-0.011152	-0.154714	0.000000	0.000000	-0.365102	-0.579320	0.000000	0.000000	0.000000	0.000000	0.000000	0.039310	0.012281	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013781	0.022519	-0.052125	0.000000	0.000000	0.000000	0.000000	0.041866	0.000000	0.000000	-0.021373	0.000000	0.000000	0.014996	0.000000	0.000000	0.000000	0.000000	0.000000	-0.075143	0.000000	0.000000	-0.035570	0.000000	0.000000	-0.028065	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015309	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.031272	0.000000	0.000000	-0.058083	0.000000	0.000000	0.000000	
G6	0.000000	0.000000	0.000000	0.306432	0.000000	0.177357	-0.109110	0.000000	0.000000	0.145069	0.000000	0.000000	0.000000	0.000000	0.000000	0.185668	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.245566	0.151403	-0.045624	0.000000	0.000000	0.000000	0.000000	0.000000	0.130961	0.000000	0.000000	0.000000	0.000000	-0.091150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.133519	0.000000	0.000000	0.000000	0.148763	0.000000	-0.117092	0.117116	0.000000	0.000000	-0.129430	0.000000	-0.187885	0.180113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.171588	0.000000	0.000000	0.097182	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.105148	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.221840	0.000000	-0.197580	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.196848	-0.227468	0.134732	0.000000	0.000000	
G7	0.000000	0.000000	-0.190499	0.000000	-0.222047	0.188288	0.512156	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.177112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.181292	0.000000	-0.172637	0.000000	0.000000	0.000000	0.000000	-0.179792	0.163165	0.000000	0.220778	-0.114539	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.111381	0.000000	0.000000	-0.080631	-0.095105	0.000000	0.134664	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.135066	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.192411	0.087879	0.000000	0.000000	0.000000	0.000000	0.135024	0.000000	0.000000	0.000000	0.000000	0.198879	0.000000	0.000000	0.000000	0.000000	0.000000	0.094181	0.000000	0.000000	0.000000	-0.165244	0.320698	0.000000	0.000000	0.000000	0.000000	0.000000	0.083161	0.000000	0.000000	0.000000	0.000000	-0.184860	0.000000	0.000000	0.000000	0.000000	0.000000	
G8	-0.268473	0.000000	-0.062972	0.000000	-0.021913	0.000000	0.000000	0.824206	0.000000	0.000000	0.000000	0.113516	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.190797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.086595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.084417	0.070684	0.000000	0.000000	0.000000	0.000000	0.000000	-0.173393	0.060757	0.000000	-0.108768	0.080363	0.000000	0.215061	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.120683	0.000000	0.000000	-0.128432	0.000000	0.000000	0.000000	0.135058	-0.163613	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.129366	0.000000	0.000000	0.000000	-0.117070	0.000000	-0.180724	-0.175232	-0.098065	0.000000	0.000000	-0.074882	0.000000	0.000000	0.000000	0.000000	-0.105737	0.000000	0.000000	
G9	0.000000	0.197374	0.000000	0.000000	-0.140988	0.000000	0.082212	-0.096774	0.194564	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.148115	0.000000	0.000000	0.000000	0.000000	0.000000	0.131306	0.000000	0.234767	0.000000	-0.103582	-0.092695	0.000000	0.000000	0.139668	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.174414	0.000000	0.000000	0.000000	0.000000	0.151361	0.000000	0.000000	0.000000	0.100171	0.000000	-0.159602	0.000000	0.000000	0.000000	0.000000	0.000000	0.191952	0.000000	-0.200030	0.000000	0.000000	0.000000	-0.307342	0.130299	0.000000	0.000000	0.000000	0.137721	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.141171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.095991	0.000000	0.000000	0.000000	0.115974	-0.118881	-0.145987	0.000000	
G10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.056895	0.131439	0.000000	0.533150	0.000000	0.000000	0.114344	0.000000	0.000000	0.000000	0.172343	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125802	0.000000	0.000000	0.000000	0.000000	-0.199366	0.000000	0.174632	0.000000	0.000000	0.000000	0.000000	-0.170315	0.000000	-0.171041	0.000000	0.000000	0.000000	0.000000	0.116828	0.000000	0.000000	-0.101214	0.000000	0.000000	0.000000	0.000000	0.000000	-0.093788	0.000000	0.000000	-0.081338	0.000000	0.000000	0.000000	0.000000	0.000000	-0.147449	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.171130	-0.059847	0.000000	-0.204657	0.206824	0.000000	0.000000	0.000000	0.000000	-0.447211	0.192437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.114394	0.125861	0.000000	0.000000	0.087706	0.000000	0.000000	-0.089920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
