G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	
G1	0.542905	0.000000	0.000000	0.000000	0.130797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.148589	0.000000	0.170261	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.124224	0.000000	-0.253860	0.100551	0.000000	0.291041	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.126071	0.114807	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.118275	0.000000	0.000000	-0.113661	0.000000	0.000000	0.000000	-0.203617	0.116201	0.240933	0.000000	0.154078	0.000000	0.000000	0.000000	0.338341	0.000000	-0.393715	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.291010	0.000000	0.000000	0.000000	0.000000	0.068597	0.000000	0.000000	-0.150523	0.000000	0.000000	0.000000	-0.191749	0.000000	0.000000	0.000000	-0.182873	0.000000	0.175088	0.000000	0.097535	0.000000	0.106895	-0.087395	-0.218314	0.000000	0.000000	-0.059693	0.000000	0.000000	
G2	0.000000	0.738361	0.179298	0.000000	0.000000	0.064644	0.000000	0.000000	0.000000	-0.338901	0.000000	0.000000	0.000000	0.000000	0.149836	0.000000	0.000000	-0.096279	0.000000	0.176854	0.000000	0.000000	-0.268062	0.000000	0.000000	0.000000	0.000000	0.000000	-0.285627	0.000000	0.000000	0.000000	0.184973	-0.174548	0.098155	-0.157879	0.000000	-0.202080	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.150520	0.000000	0.000000	0.000000	-0.209239	0.000000	0.000000	0.000000	-0.084000	0.000000	0.000000	0.000000	0.000000	0.141531	0.171229	0.000000	0.000000	0.000000	0.179908	0.215933	0.000000	-0.054859	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.128964	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.269758	0.000000	0.000000	0.000000	0.000000	0.000000	0.094583	0.000000	0.000000	0.000000	0.000000	0.082096	0.232342	-0.078818	0.083160	0.000000	
G3	0.000000	0.000000	0.747707	-0.168235	-0.032479	0.234129	0.000000	0.000000	0.000000	-0.060877	0.000000	-0.098817	0.110187	0.000000	0.000000	0.000000	0.000000	0.108514	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.240162	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064118	0.000000	0.000000	0.195931	0.000000	0.097583	0.000000	0.000000	-0.182315	0.084936	0.000000	0.000000	0.000000	0.000000	0.000000	0.139526	0.000000	-0.164191	-0.240269	0.000000	-0.074736	0.000000	0.000000	0.000000	0.000000	0.000000	0.269526	0.000000	-0.259272	0.000000	0.000000	0.000000	0.000000	-0.104579	0.000000	-0.133828	0.000000	0.126797	0.000000	0.000000	0.000000	0.000000	0.000000	-0.125051	0.000000	0.000000	-0.136309	0.000000	-0.170741	0.000000	0.000000	-0.094500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001344	0.000000	-0.068393	
G4	-0.172210	0.000000	0.147211	0.829793	-0.219337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.165356	0.210966	0.000000	0.000000	0.115914	0.000000	-0.122770	0.000000	0.000000	0.138354	-0.211516	0.000000	-0.245254	-0.264405	0.000000	0.109252	0.000000	0.195862	0.000000	-0.116146	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.199289	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.074665	0.000000	-0.089370	0.178550	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.178661	0.000000	0.091866	0.000000	0.000000	0.000000	0.000000	0.073748	0.000000	-0.093089	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.173272	-0.119337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.270888	0.000000	0.000000	0.000000	0.076887	0.000000	0.000000	0.000000	0.000000	0.000000	-0.134975	0.072034	0.000000	
G5	0.000000	0.000000	0.038916	0.010264	0.047889	-0.315691	0.023073	0.000000	0.000000	-0.012684	-0.114058	0.000000	-0.197794	-0.314214	-0.497914	0.000000	0.000000	0.000000	-0.156556	0.000000	0.040809	0.013615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.017842	0.027493	-0.050785	0.000000	0.000000	0.000000	0.000000	0.089343	0.062012	0.000000	-0.012500	0.000000	0.000000	0.022667	0.000000	0.000000	0.000000	0.000000	0.000000	-0.062899	0.000000	0.000000	-0.033513	0.000000	0.000000	-0.011004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016924	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004641	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024794	0.000000	0.000000	0.065489	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027789	0.000000	0.000000	-0.046495	0.000000	0.000000	0.000000	
G6	0.000000	0.000000	0.000000	0.335980	0.000000	0.173641	-0.105096	0.000000	0.000000	0.173792	0.000000	0.000000	0.000000	0.000000	0.000000	0.223863	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.222268	0.183863	-0.093323	0.000000	0.000000	0.000000	0.000000	0.000000	0.116057	0.000000	0.000000	0.000000	0.000000	-0.086337	0.000000	0.151335	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.150822	0.000000	0.000000	0.000000	0.163396	0.000000	-0.123375	0.127522	0.000000	0.000000	-0.126095	0.000000	-0.175443	0.208969	0.000000	-0.139978	0.000000	0.000000	0.000000	0.000000	0.174517	0.000000	0.000000	0.082201	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.124310	0.000000	0.000000	0.000000	0.000000	-0.149290	-0.123013	0.243970	0.000000	-0.115940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.196051	-0.207730	0.136192	0.000000	0.000000	
G7	0.000000	0.000000	-0.184439	0.000000	-0.239044	0.173892	0.504792	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.177574	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.179210	0.000000	-0.148903	0.000000	0.000000	0.000000	0.000000	-0.175985	0.152719	0.000000	0.257305	-0.132561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.103181	0.084467	0.000000	-0.097973	-0.098801	0.000000	0.151692	0.000000	0.000000	0.000000	-0.060672	0.095741	0.000000	-0.158980	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.171443	0.094971	0.000000	0.000000	0.000000	0.000000	0.122123	0.000000	0.000000	0.000000	0.000000	0.213026	0.000000	0.000000	0.000000	0.000000	0.000000	0.127396	0.000000	0.000000	0.000000	-0.187979	0.345783	0.000000	0.000000	-0.078986	0.000000	0.000000	0.065537	0.000000	0.000000	0.000000	0.000000	-0.199192	0.000000	0.000000	0.000000	0.000000	0.000000	
G8	-0.270568	0.000000	-0.085856	0.000000	-0.013614	0.000000	0.000000	0.806520	0.000000	0.000000	0.000000	0.093383	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.072267	-0.237365	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.097304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.122352	0.078318	0.000000	0.000000	0.000000	0.000000	0.000000	-0.177118	0.074440	0.000000	-0.108619	0.072674	0.000000	0.218021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.122848	0.000000	0.000000	-0.143482	0.000000	0.000000	0.000000	0.130696	-0.163104	0.000000	0.000000	0.000000	-0.121690	0.000000	0.150702	0.000000	-0.124918	0.000000	0.000000	0.000000	-0.117974	0.069080	-0.240295	-0.181258	-0.110929	0.000000	0.000000	-0.086622	0.000000	0.000000	0.000000	0.000000	-0.107115	0.000000	0.000000	
G9	0.000000	0.233648	0.000000	0.000000	-0.144278	0.000000	0.082743	-0.101154	0.199189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.130063	0.000000	0.000000	0.000000	0.000000	0.000000	0.137948	0.000000	0.242974	0.000000	-0.100788	-0.097358	0.000000	0.000000	0.146403	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.138509	0.000000	-0.166977	0.000000	0.000000	0.000000	0.000000	0.157312	0.000000	0.000000	0.000000	0.118305	0.000000	-0.200080	0.000000	0.000000	0.000000	0.000000	0.000000	0.203255	0.000000	-0.176789	0.000000	0.000000	0.000000	-0.313687	0.148732	0.000000	0.096106	0.000000	0.124685	0.000000	0.000000	0.000000	-0.192860	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.171671	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.071278	0.000000	-0.116933	0.000000	0.000000	0.000000	0.123956	-0.129038	-0.123797	0.000000	
G10	0.000000	0.000000	0.080221	0.000000	0.000000	0.000000	-0.063377	0.110338	0.000000	0.505886	0.000000	0.000000	0.109921	0.000000	0.000000	0.000000	0.186669	0.065296	0.000000	0.000000	0.000000	0.000000	0.000000	0.110772	0.000000	-0.087643	0.107099	0.000000	-0.193449	0.000000	0.152588	0.000000	0.000000	0.000000	0.000000	-0.182398	0.000000	-0.171960	0.000000	0.000000	0.000000	0.000000	0.122015	0.000000	0.000000	-0.131874	0.000000	0.000000	0.000000	0.000000	0.000000	-0.102698	0.000000	0.000000	-0.090245	0.000000	0.000000	0.000000	0.000000	0.000000	-0.157800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.185602	-0.066811	0.000000	-0.196268	0.191254	0.000000	0.000000	0.000000	0.000000	-0.427553	0.204665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.121551	0.131113	0.000000	0.000000	0.080136	0.000000	0.000000	-0.078899	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
