0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
G1	0.5051784	0.5096596	0.5412204	0.6574209	0.5492256	0.7059199	0.5773727	0.7376565	0.7022527	0.6349631	0.4903691	0.6804341	0.7228807	0.5419247	0.5295148	0.4865604	0.5124921	0.5071253	0.4727919	0.5756764	0.4814197
G2	0.2425861	0.1992719	0.2353704	0.1519179	0.1424684	0.3316977	0.1914072	0.1260884	0.1968946	0.1633562	0.1340848	0.1626680	0.1795738	0.2015722	0.2088088	0.1913129	0.2256032	0.1913001	0.2735252	0.1953876	0.2415595
G3	0.6721767	0.6050507	0.6740912	0.7520701	0.6958141	0.8611256	0.6193614	0.7357410	0.6216855	0.6024143	0.7865067	0.5561967	0.5572885	0.5442476	0.7232733	0.5631680	0.6859346	0.7135622	0.5942625	0.6414261	0.6286237
G4	0.2096592	0.1892017	0.2658047	0.2100902	0.2393441	0.1609950	0.1939281	0.1767864	0.1769568	0.2008894	0.1978249	0.2058176	0.2102774	0.1710352	0.2385360	0.2585345	0.1813757	0.1711627	0.2166963	0.2421820	0.1828818
G5	0.6476855	0.8259822	0.7109971	0.7902977	0.8097858	0.6825185	0.8497454	0.5468713	0.7321665	0.7787463	0.8136636	0.7442414	0.6679654	0.5922648	0.8180940	0.6872363	0.7212383	0.7808089	0.7356451	0.6527395	0.8079665
G6	0.8824466	0.7053732	0.8292615	0.7458275	0.8015538	0.6262206	0.7992039	0.7795435	0.7883162	0.7440383	0.7655837	0.6259109	0.7944720	0.6531474	0.6818851	0.7381637	0.7494219	0.8878157	0.8525072	0.6246490	0.6503075
G7	0.4992188	0.1019913	0.1381507	0.1543937	0.1294991	0.0844062	0.1159733	0.0902381	0.1315774	0.1034925	0.1255451	0.3125417	0.2926963	0.3478960	0.3416547	0.3062351	0.2730098	0.3235013	0.3744306	0.3759013	0.3939291
G8	0.7626015	0.8975787	0.6538608	0.7387799	0.7316422	0.8860570	0.7041449	0.7250416	0.8366391	0.6533276	0.6555579	0.7458074	0.8425032	0.6775571	0.7658791	0.6228363	0.8661396	0.7011085	0.8298932	0.8281145	0.7172573
G9	0.6337414	0.7628795	0.7965365	0.7121623	0.6465355	0.6421201	0.6976002	0.7061356	0.6387206	0.8167030	0.7321515	0.6393368	0.5709346	0.7815329	0.6447843	0.6975138	0.6488470	0.6998398	0.6846305	0.7042743	0.6066857
G10	0.8237292	0.7597309	0.6766919	0.8249988	0.7991124	0.7405117	0.6966458	0.7643580	0.7465677	0.8168949	0.7590841	0.7961942	0.7172317	0.7809806	0.7822563	0.8108989	0.6001808	0.7444167	0.7515271	0.7322990	0.6358051
