0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
G1	0.4414286	0.4720760	0.5219722	0.4253745	0.4693511	0.4224081	0.4984385	0.4997741	0.4018373	0.6607450	0.5069696	0.4996469	0.4168415	0.5558433	0.4612374	0.4526458	0.4837851	0.3614634	0.5293348	0.4523970	0.4304975
G2	0.2009764	0.3083551	0.2486648	0.1955569	0.1953477	0.2234886	0.2936724	0.1759506	0.1701737	0.1714796	0.2553086	0.2137747	0.1720502	0.1909925	0.2474375	0.2149439	0.2512050	0.2256785	0.2055930	0.1764382	0.2325601
G3	0.6454156	0.6252712	0.6567055	0.7673668	0.7874424	0.7526316	0.5957484	0.7295508	0.6871669	0.6495674	0.7458721	0.7196570	0.7671120	0.6668680	0.7663403	0.6614987	0.7986631	0.8307931	0.7027689	0.8528379	0.8473156
G4	0.1966631	0.2142077	0.2143252	0.2633962	0.2236910	0.2168400	0.2063928	0.1820585	0.1865491	0.1361284	0.2481815	0.2571503	0.2067413	0.1641753	0.1650493	0.2217023	0.2139885	0.1901472	0.1802131	0.1749150	0.2066316
G5	0.7713384	0.7046671	0.7499236	0.8108319	0.7694327	0.6503610	0.6395003	0.8522692	0.7808770	0.7089253	0.7149017	0.6461190	0.6883443	0.6699613	0.7723461	0.8128669	0.6885287	0.8206525	0.7516108	0.7271578	0.7843503
G6	0.8634339	0.8111567	0.6752589	0.7236831	0.7693037	0.7944839	0.7394153	0.7492813	0.7915995	0.6292405	0.8051817	0.7897717	0.8608392	0.6236714	0.8075153	0.8080942	0.6992943	0.8104922	0.6698584	0.6643198	0.8158005
G7	0.3950103	0.2856710	0.3133263	0.2599233	0.2916252	0.3928007	0.3340969	0.2265166	0.4037506	0.3365928	0.3453947	0.3542219	0.3767280	0.4543950	0.3317691	0.3467777	0.4339636	0.3522772	0.3392197	0.3728984	0.3455581
G8	0.8075625	0.8231946	0.7341416	0.7144912	0.8100755	0.8572596	0.7988919	0.7592666	0.7327622	0.7212151	0.8043197	0.6598350	0.7276361	0.7234391	0.7158604	0.7962184	0.8215275	0.7332915	0.8949800	0.6866640	0.6942588
G9	0.8011866	0.7472363	0.5777256	0.4314496	0.4114635	0.4187966	0.4371903	0.3983343	0.3724224	0.3904788	0.3894039	0.4584493	0.5920023	0.6327961	0.6951870	0.7931770	0.6772379	0.7478955	0.7081747	0.6274688	0.7229043
G10	0.7964181	0.3045166	0.2607866	0.1697772	0.2032365	0.1813128	0.1721645	0.1772106	0.1930741	0.1640132	0.2117302	0.5999673	0.7964001	0.6917877	0.8715394	0.7629877	0.6435830	0.8108088	0.7974992	0.6649077	0.8428078
