"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
FALSE	"e"	NA	0	"WT_1_1"
FALSE	"e"	NA	0	"WT_2_2"
FALSE	"e"	NA	0	"WT_3_3"
FALSE	"e"	NA	0	"WT_4_4"
FALSE	"e"	NA	0	"WT_5_5"
FALSE	"e"	NA	0	"WT_6_6"
FALSE	"e"	NA	0	"WT_7_7"
FALSE	"e"	NA	0	"WT_8_8"
FALSE	"e"	NA	0	"WT_9_9"
FALSE	"e"	NA	0	"WT_10_10"
FALSE	"e"	NA	0	"WT_11_11"
FALSE	"e"	NA	0	"WT_12_12"
FALSE	"e"	NA	0	"WT_13_13"
FALSE	"e"	NA	0	"WT_14_14"
FALSE	"e"	NA	0	"WT_15_15"
FALSE	"e"	NA	0	"WT_16_16"
FALSE	"e"	NA	0	"WT_17_17"
FALSE	"e"	NA	0	"WT_18_18"
FALSE	"e"	NA	0	"WT_19_19"
FALSE	"e"	NA	0	"WT_20_20"
FALSE	"e"	NA	0	"WT_21_21"
FALSE	"e"	NA	0	"WT_22_22"
FALSE	"e"	NA	0	"WT_23_23"
FALSE	"e"	NA	0	"WT_24_49"
FALSE	"e"	NA	0	"WT_25_51"
FALSE	"e"	NA	0	"WT_26_55"
FALSE	"e"	NA	0	"WT_27_58"
FALSE	"e"	NA	0	"WT_28_60"
FALSE	"e"	NA	0	"WT_29_63"
FALSE	"e"	NA	0	"WT_30_65"
FALSE	"e"	NA	0	"WT_31_67"
FALSE	"e"	NA	0	"WT_32_69"
FALSE	"e"	NA	0	"WT_33_71"
FALSE	"e"	NA	0	"WT_34_288"
FALSE	"e"	NA	0	"WT_35_295"
FALSE	"e"	NA	0	"WT_36_297"
FALSE	"e"	NA	0	"WT_37_299"
FALSE	"e"	NA	0	"WT_38_302"
FALSE	"e"	NA	0	"WT_39_304"
FALSE	"e"	NA	0	"WT_40_309"
FALSE	"e"	NA	0	"WT_41_311"
FALSE	"e"	NA	0	"WT_42_316"
FALSE	"e"	NA	0	"WT_43_320"
FALSE	"e"	NA	0	"WT_44_322"
FALSE	"e"	NA	0	"WT_45_340"
FALSE	"e"	NA	0	"WT_46_342"
FALSE	"e"	NA	0	"WT_47_344"
FALSE	"e"	NA	0	"WT_48_346"
FALSE	"e"	NA	0	"WT_49_348"
FALSE	"e"	NA	0	"WT_50_350"
FALSE	"e"	NA	0	"WT_51_355"
FALSE	"e"	NA	0	"WT_52_357"
FALSE	"e"	NA	0	"WT_53_366"
FALSE	"e"	NA	0	"WT_54_367"
FALSE	"e"	NA	0	"WT_55_369"
FALSE	"e"	NA	0	"WT_56_371"
FALSE	"e"	NA	0	"WT_57_373"
FALSE	"e"	NA	0	"WT_58_378"
FALSE	"e"	NA	0	"WT_59_380"
FALSE	"e"	NA	0	"WT_60_385"
FALSE	"e"	NA	0	"WT_61_389"
FALSE	"e"	NA	0	"WT_62_391"
FALSE	"e"	NA	0	"WT_63_393"
FALSE	"e"	NA	0	"WT_64_417"
FALSE	"e"	NA	0	"WT_65_425"
FALSE	"e"	NA	0	"WT_66_429"
FALSE	"e"	NA	0	"WT_67_433"
FALSE	"e"	NA	0	"WT_68_437"
FALSE	"e"	NA	0	"SS_1_50"
FALSE	"e"	NA	0	"SS_2_52"
FALSE	"e"	NA	0	"SS_3_53"
FALSE	"e"	NA	0	"SS_4_54"
FALSE	"e"	NA	0	"SS_5_56"
FALSE	"e"	NA	0	"SS_6_57"
FALSE	"e"	NA	0	"SS_7_59"
FALSE	"e"	NA	0	"SS_8_61"
FALSE	"e"	NA	0	"SS_9_62"
FALSE	"e"	NA	0	"SS_10_64"
FALSE	"e"	NA	0	"SS_11_66"
FALSE	"e"	NA	0	"SS_12_68"
FALSE	"e"	NA	0	"SS_13_70"
FALSE	"e"	NA	0	"SS_14_72"
FALSE	"e"	NA	0	"SS_15_289"
FALSE	"e"	NA	0	"SS_16_290"
FALSE	"e"	NA	0	"SS_17_291"
FALSE	"e"	NA	0	"SS_18_292"
FALSE	"e"	NA	0	"SS_19_293"
FALSE	"e"	NA	0	"SS_20_294"
FALSE	"e"	NA	0	"SS_21_296"
FALSE	"e"	NA	0	"SS_22_298"
FALSE	"e"	NA	0	"SS_23_300"
FALSE	"e"	NA	0	"SS_24_301"
FALSE	"e"	NA	0	"SS_25_303"
FALSE	"e"	NA	0	"SS_26_305"
FALSE	"e"	NA	0	"SS_27_306"
FALSE	"e"	NA	0	"SS_28_307"
FALSE	"e"	NA	0	"SS_29_308"
FALSE	"e"	NA	0	"SS_30_310"
FALSE	"e"	NA	0	"SS_31_312"
FALSE	"e"	NA	0	"SS_32_313"
FALSE	"e"	NA	0	"SS_33_314"
FALSE	"e"	NA	0	"SS_34_315"
FALSE	"e"	NA	0	"SS_35_317"
FALSE	"e"	NA	0	"SS_36_318"
FALSE	"e"	NA	0	"SS_37_319"
FALSE	"e"	NA	0	"SS_38_321"
FALSE	"e"	NA	0	"SS_39_323"
FALSE	"e"	NA	0	"SS_40_324"
FALSE	"e"	NA	0	"SS_41_325"
FALSE	"e"	NA	0	"SS_42_326"
FALSE	"e"	NA	0	"SS_43_327"
FALSE	"e"	NA	0	"SS_44_328"
FALSE	"e"	NA	0	"SS_45_329"
FALSE	"e"	NA	0	"SS_46_330"
FALSE	"e"	NA	0	"SS_47_331"
FALSE	"e"	NA	0	"SS_48_332"
FALSE	"e"	NA	0	"SS_49_333"
FALSE	"e"	NA	0	"SS_50_334"
FALSE	"e"	NA	0	"SS_51_335"
FALSE	"e"	NA	0	"SS_52_336"
FALSE	"e"	NA	0	"SS_53_337"
FALSE	"e"	NA	0	"SS_54_338"
FALSE	"e"	NA	0	"SS_55_339"
FALSE	"e"	NA	0	"SS_56_341"
FALSE	"e"	NA	0	"SS_57_343"
FALSE	"e"	NA	0	"SS_58_345"
FALSE	"e"	NA	0	"SS_59_347"
FALSE	"e"	NA	0	"SS_60_349"
FALSE	"e"	NA	0	"SS_61_351"
FALSE	"e"	NA	0	"SS_62_352"
FALSE	"e"	NA	0	"SS_63_353"
FALSE	"e"	NA	0	"SS_64_354"
FALSE	"e"	NA	0	"SS_65_356"
FALSE	"e"	NA	0	"SS_66_358"
