0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
G1	0.5521151	0.4153627	0.4216988	0.3735895	0.4892948	0.5958400	0.5879959	0.6485551	0.7316241	0.6286632	0.6650040	0.5283656	0.5310171	0.4595717	0.4837040	0.4668519	0.4860539	0.5631699	0.4909019	0.5102567	0.4692452
G2	0.2298214	0.2773864	0.3234608	0.1989780	0.2218479	0.2306092	0.1938759	0.1596844	0.1495282	0.1885847	0.1798241	0.1101391	0.1383821	0.2928163	0.1951274	0.2666368	0.2091222	0.1553910	0.2148164	0.1603798	0.2150604
G3	0.6295696	0.6379653	0.6888471	0.6810755	0.6179318	0.7848930	0.5583063	0.7496772	0.6832336	0.6561431	0.7459798	0.7364110	0.6766374	0.6636160	0.6454595	0.6734076	0.6224963	0.5308726	0.7201351	0.5677427	0.6035415
G4	0.1864582	0.1695486	0.2083434	0.2172056	0.1678133	0.1639333	0.1747893	0.2365200	0.2515132	0.1871048	0.2076585	0.1721539	0.2073053	0.1740279	0.2094637	0.1424653	0.1844443	0.2013785	0.1797332	0.1923079	0.1898536
G5	0.6377654	0.3167101	0.1322565	0.0830521	0.0287610	0.0343942	0.0163774	0.0238194	0.0051529	0.0122651	0.0106480	0.5497212	0.6715264	0.6047601	0.7254817	0.8162300	0.6445419	0.8044187	0.5989895	0.6348802	0.5872370
G6	0.8781954	0.6700136	0.6638553	0.6221183	0.6784765	0.9290784	0.6513414	0.6123397	0.5556076	0.6622132	0.7394763	0.6393281	0.6913642	0.8221069	0.7889811	0.6757744	0.7271346	0.7322629	0.7942321	0.7389228	0.6128514
G7	0.3947260	0.3263839	0.4054843	0.4144042	0.3695663	0.3302820	0.3417951	0.4028189	0.3086608	0.3780445	0.3250999	0.3336006	0.3177963	0.3369144	0.3151636	0.3144433	0.3526435	0.3312540	0.3230451	0.3416226	0.3611201
G8	0.7522033	0.7740350	0.6776982	0.7343075	0.5991928	0.8130421	0.7850368	0.6568752	0.8177383	0.6603828	0.6949149	0.6845946	0.7154974	0.7415399	0.6477353	0.7935707	0.7566210	0.6410568	0.6912921	0.7054495	0.8713176
G9	0.7622694	0.6470043	0.5911156	0.8678268	0.8595265	0.7911118	0.7075443	0.7311662	0.8217943	0.7247171	0.8259132	0.6473641	0.7710758	0.6930254	0.6725202	0.7294108	0.6244441	0.7463233	0.7690464	0.8062664	0.7308277
G10	0.8093136	0.8248715	0.5689591	0.8946357	0.8441308	0.7248404	0.5878357	0.7780191	0.7315048	0.8482460	0.7409464	0.7728854	0.5553370	0.6886641	0.7521078	0.7368040	0.7242024	0.6133348	0.8438895	0.7053930	0.7564495
