G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	
G1	0.579002	0.000000	0.000000	0.000000	0.096679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.195104	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.227734	0.100167	0.000000	0.270882	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.129659	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.126383	0.000000	0.000000	-0.091393	0.000000	0.000000	0.000000	-0.178885	0.095284	0.218427	0.000000	0.139648	0.000000	0.000000	0.000000	0.301602	0.000000	-0.368332	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.322083	0.000000	0.000000	0.000000	0.000000	0.093763	0.000000	0.000000	-0.149922	0.000000	0.000000	0.000000	-0.167676	0.000000	0.000000	0.000000	-0.198250	0.000000	0.000000	0.000000	0.099821	0.000000	0.076047	0.000000	-0.263088	0.000000	0.000000	0.000000	0.000000	0.000000	
G2	0.000000	0.732941	0.165601	0.000000	0.000000	0.176771	0.000000	0.000000	0.000000	-0.338082	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.080921	0.000000	0.296291	0.000000	0.000000	-0.278413	0.000000	0.000000	0.000000	0.000000	0.000000	-0.246971	0.000000	0.000000	0.000000	0.177433	-0.116083	0.121546	-0.163474	0.000000	-0.215709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.160506	0.000000	0.000000	0.000000	-0.193890	0.000000	0.000000	0.000000	-0.105173	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.149847	0.199309	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.154753	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.222099	0.000000	0.000000	0.000000	0.000000	0.000000	0.084011	0.000000	0.000000	0.000000	0.000000	0.098178	0.243616	0.000000	0.000000	0.000000	
G3	0.000000	0.000000	0.765314	-0.150651	-0.050953	0.256220	0.000000	0.000000	0.000000	-0.088936	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108955	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.205625	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.194373	0.000000	0.000000	0.000000	0.000000	-0.174802	0.074543	0.000000	0.000000	0.000000	0.000000	0.000000	0.128211	0.000000	-0.151349	-0.225797	0.000000	-0.083230	0.000000	0.000000	0.000000	0.000000	0.000000	0.293905	0.000000	-0.257092	0.000000	0.000000	0.000000	0.000000	-0.149456	0.000000	-0.081642	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.128368	0.000000	0.000000	-0.161223	0.000000	-0.140932	0.000000	0.000000	-0.116387	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016947	0.000000	0.000000	
G4	-0.167580	0.000000	0.127118	0.822764	-0.204208	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166354	0.207338	0.000000	0.000000	0.135650	0.000000	-0.119481	0.000000	0.000000	0.125357	-0.160878	0.000000	-0.203149	-0.227743	0.000000	0.083886	0.000000	0.217894	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.201208	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.099419	0.000000	0.000000	0.165742	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.155198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.077013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.189595	-0.107701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.311042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.104183	0.000000	0.000000	
G5	0.000000	0.000000	0.041795	0.015733	0.070065	-0.380688	0.029066	0.000000	0.000000	-0.014413	0.000000	0.000000	0.000000	-0.380578	-0.601891	0.000000	0.000000	0.000000	0.000000	0.000000	0.036240	0.014603	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.012935	0.017634	-0.050734	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021152	0.000000	0.000000	0.014018	0.000000	0.000000	0.000000	0.000000	0.000000	-0.077968	0.000000	0.000000	-0.036866	0.000000	0.000000	-0.027164	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037440	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015173	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008702	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.032849	0.000000	0.000000	-0.059080	0.000000	0.000000	0.000000	
G6	0.000000	0.000000	0.000000	0.325613	0.000000	0.214645	-0.076193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.249175	0.148906	-0.040882	0.000000	0.000000	0.000000	0.000000	0.000000	0.177662	0.000000	0.000000	0.000000	0.000000	-0.120743	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.147982	0.000000	0.000000	0.000000	0.147497	0.000000	-0.115838	0.119516	0.000000	0.000000	0.000000	0.000000	-0.156728	0.202109	0.000000	-0.148526	0.000000	0.000000	0.000000	0.000000	0.172033	0.000000	0.000000	0.098375	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.106463	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.230494	0.000000	-0.180768	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.167705	-0.200278	0.125475	0.000000	0.000000	
G7	0.000000	0.000000	-0.179928	0.000000	-0.197057	0.207181	0.508435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.184671	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.177808	0.000000	-0.161153	0.000000	0.000000	0.000000	0.000000	-0.167342	0.157257	0.000000	0.209650	-0.096331	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.096822	0.000000	0.000000	-0.076320	-0.078430	0.000000	0.133449	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.129194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.196523	0.000000	0.000000	0.000000	0.000000	0.000000	0.147021	0.000000	0.000000	0.000000	0.000000	0.187198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.149265	0.322812	0.000000	0.000000	0.000000	0.000000	0.000000	0.085445	0.000000	0.000000	0.000000	0.000000	-0.184707	0.000000	0.000000	0.000000	0.000000	0.000000	
G8	-0.265279	0.000000	-0.092062	0.000000	-0.036343	0.000000	0.000000	0.841143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.186088	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.087735	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.081480	0.071652	0.000000	0.000000	0.000000	0.000000	0.000000	-0.150895	0.046942	0.000000	-0.103089	0.097414	0.000000	0.227786	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.110536	0.000000	0.000000	-0.117291	0.000000	0.000000	0.000000	0.143757	-0.139299	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.121008	0.000000	0.000000	0.000000	-0.118112	0.000000	0.000000	-0.206602	-0.096716	0.000000	0.000000	-0.071864	0.000000	0.000000	0.000000	0.000000	-0.076789	0.000000	0.000000	
G9	0.000000	0.194390	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.207131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.227581	0.000000	0.000000	0.000000	0.000000	0.000000	0.138210	0.000000	0.206687	0.000000	-0.133401	-0.105445	0.000000	0.000000	0.154340	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.199601	-0.061971	0.000000	0.000000	0.000000	0.132087	0.000000	0.000000	0.000000	0.091995	0.000000	-0.117558	0.000000	0.000000	0.000000	0.000000	0.000000	0.178775	0.000000	-0.220287	0.000000	0.000000	0.000000	-0.286212	0.109915	0.000000	0.000000	0.000000	0.127770	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.154077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.122377	0.000000	0.104515	0.000000	0.000000	-0.119089	-0.143854	0.000000	
G10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.065746	0.115549	0.000000	0.534960	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166433	0.078168	0.000000	0.000000	0.000000	0.000000	0.000000	0.137777	0.000000	0.000000	0.000000	0.000000	-0.159721	0.000000	0.180731	0.000000	0.000000	0.000000	0.000000	-0.182622	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127451	0.000000	0.000000	-0.137837	0.000000	0.000000	0.000000	0.000000	0.000000	-0.105661	0.000000	0.000000	-0.079216	0.000000	0.000000	0.000000	0.000000	0.000000	-0.184849	0.000000	0.000000	-0.071623	0.000000	0.000000	0.000000	-0.162500	0.000000	0.000000	-0.209673	0.238847	0.000000	0.000000	0.000000	0.000000	-0.450530	0.187128	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.118746	0.000000	0.000000	0.000000	0.087153	0.000000	0.000000	-0.082840	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
