G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	
G1	0.372576	-0.255514	0.000000	0.000000	-0.710693	-0.234945	0.000000	-0.168410	0.000000	0.000000	
G2	0.000000	1.100978	0.000000	-0.493598	-0.242165	0.193667	0.000000	0.000000	0.000000	-0.197061	
G3	-0.408088	0.000000	1.061396	0.429251	0.000000	0.000000	-0.333000	0.000000	0.000000	-0.349233	
G4	-0.263262	0.000000	-0.605706	0.875807	0.000000	0.000000	0.000000	0.000000	0.198508	-0.345543	
G5	0.112409	0.000000	-0.154542	0.000000	0.537872	0.000000	-0.217482	0.000000	0.000000	-0.203864	
G6	-0.156785	-0.846034	0.000000	-0.477298	0.000000	0.921665	0.124076	0.000000	0.000000	0.000000	
G7	0.140108	0.000000	0.000000	-0.357340	0.000000	-0.473044	0.896255	-0.526617	0.000000	0.000000	
G8	-0.283425	-0.444070	0.000000	0.000000	-0.148741	-0.682754	0.000000	0.690225	0.000000	0.000000	
G9	-0.457193	0.000000	0.000000	-0.351863	-0.259034	0.000000	0.000000	-0.297923	0.933999	0.000000	
G10	0.000000	0.000000	-0.330012	0.144799	0.000000	0.000000	-0.214214	0.000000	-0.734229	0.908379	
