YJR060W	YFL031W	+
YNL103W	YIR017C	-
YJR060W	YIR017C	-
YDR253C	YIR017C	+
YPL038W	YIR017C	-
YJR060W	YNL103W	+
YLR451W	YNL103W	-
YJR060W	YOR162C	-
YPL038W	YGL254W	-
YDR253C	YGL254W	+
YER040W	YGL254W	+
YOL067C	YGL254W	+
YGR044C	YOR140W	-
YGL254W	YOR140W	-
YPL248C	YOR140W	-
YBR182C	YOR140W	-
YLR131C	YOR140W	-
YDR146C	YOR140W	-
YJR060W	YCR106W	-
YDR463W	YCR096C	-
YFL021W	YCR096C	-
YOL089C	YCR096C	+
YJL110C	YCR096C	-
YOL067C	YCR096C	-
YKL020C	YCR096C	+
YBL103C	YCR096C	-
YML113W	YCR096C	-
YPR199C	YCR096C	+
YML113W	YDR520C	+
YFL021W	YDR520C	-
YJL056C	YCR040W	+
YCR096C	YCR040W	+
YCR097W	YCR040W	+
YDL170W	YCR040W	+
YPR199C	YCR040W	-
YLR013W	YCR040W	-
YKR034W	YCR040W	-
YHR006W	YCR040W	-
YLR098C	YCR040W	-
YJL110C	YCR040W	-
YOL089C	YCR097W	-
YBL103C	YCR097W	-
YOR344C	YHR006W	-
YOR032C	YHR006W	-
YJL110C	YCL066W	+
YJL056C	YCL066W	+
YLR098C	YCL066W	+
YCL067C	YCL066W	+
YCR097W	YCL066W	+
YPL248C	YCL066W	-
YDR421W	YCL066W	-
YLR013W	YCL066W	+
YDR421W	YCL067C	+
YLR098C	YCL067C	+
YLR013W	YCL067C	+
YJL110C	YCL067C	+
YJL056C	YCL067C	+
YPL248C	YCL067C	-
YKR034W	YJL110C	-
YFL021W	YJL110C	-
YER040W	YJL110C	-
YLR131C	YGR044C	-
YDR146C	YGR044C	-
YCR097W	YGR044C	+
YCL067C	YGR044C	+
YGR044C	YCR018C	-
YDR146C	YCR018C	-
YDR146C	YLR013W	+
YFL021W	YMR019W	+
YDR463W	YMR019W	-
YBL103C	YMR019W	-
YOL089C	YMR019W	-
YOL067C	YMR019W	-
YJR147W	YMR019W	-
YIL101C	YJR147W	-
YJR060W	YJR147W	+
YLR131C	YJR147W	-
YDR146C	YFL021W	-
YER040W	YFL021W	-
YLR131C	YFL021W	-
YKR034W	YFL021W	+
YER040W	YKR034W	+
YJL110C	YKR034W	+
YFL021W	YML099C	+
YMR042W	YPL177C	-
YMR021C	YPL177C	-
YGL162W	YPL177C	-
YML099C	YPL177C	+
YER040W	YDL170W	+
YMR021C	YBR297W	+
YPL177C	YIL101C	+
YBR297W	YIL101C	+
YOR363C	YIL101C	-
YOR113W	YIL101C	-
YHL027W	YER045C	+
YIL101C	YER045C	-
YGL162W	YER045C	+
YDL106C	YER045C	-
YGL162W	YPL230W	+
YGL162W	YGR249W	+
YHL027W	YGR249W	+
YJR147W	YGR249W	+
YIL101C	YGR249W	+
YGL162W	YMR070W	-
YDR123C	YMR070W	-
YNL167C	YMR070W	+
YGL181W	YNL167C	-
YLR451W	YGL181W	-
YFL021W	YKR099W	-
YJL089W	YKR099W	-
YMR280C	YJL089W	-
YGL035C	YMR280C	-
YGL209W	YMR280C	-
YGL209W	YGL035C	-
YGL209W	YPL248C	-
YGL035C	YPL248C	+
YPL248C	YML051W	+
YLR451W	YKL038W	-
YKL038W	YER028C	+
YBR182C	YHL027W	+
YGL162W	YHL027W	+
YLR098C	YDR310C	-
YDR310C	YPL075W	-
YBR083W	YDR463W	-
YDR081C	YDR463W	+
YBR083W	YMR164C	-
YBR083W	YLR403W	+
YOL108C	YDR146C	+
YGL035C	YDR146C	-
YGL209W	YDR146C	+
YDR123C	YDR146C	-
YLR131C	YKL185W	+
YBR182C	YKL185W	-
YDR146C	YKL185W	+
YIL101C	YBR182C	-
YDL106C	YNL027W	+
YDL106C	YPR196W	+
YJR060W	YOR344C	-
YLR131C	YER189W	+
YBR083W	YER189W	+
YER028C	YER189W	+
YJL056C	YER189W	+
YER040W	YER189W	-
YLR451W	YER189W	-
YLR098C	YER189W	-
YPL248C	YER189W	-
YKR034W	YER189W	+
YJL110C	YER189W	+
YDL170W	YER189W	+
YDR253C	YER189W	+
YJL089W	YER189W	+
YDR146C	YER189W	+
YPR196W	YER189W	+
YLR013W	YER189W	+
YBR297W	YER189W	-
YBR182C	YER189W	+
YML113W	YER189W	+
YIL101C	YER189W	+
YML113W	YER190W	+
YDR253C	YER190W	+
YPR196W	YER190W	+
YDL170W	YER190W	-
YLR131C	YER190W	-
YJL089W	YER190W	-
YLR451W	YER190W	-
YPL248C	YER190W	-
YLR098C	YER190W	-
YDR146C	YER190W	+
YJL110C	YER190W	+
YBR297W	YER190W	+
YBR083W	YER190W	+
YER040W	YER190W	-
YER028C	YER190W	-
YIL101C	YER190W	-
YKR034W	YER190W	-
YDL106C	YGL001C	-
YML113W	YGL001C	-
YER040W	YGL001C	-
YGL162W	YGL001C	+
YDL170W	YGL001C	+
YKL020C	YGL001C	+
YJL110C	YGL001C	+
YOL089C	YGL001C	+
YOR344C	YGL001C	+
YOR032C	YGL001C	+
YDR463W	YGL001C	+
YLR451W	YGL001C	-
YHL027W	YGL001C	-
YFL021W	YGL001C	-
YFL021W	YCR019W	-
YBL103C	YCR019W	-
YLR451W	YCR019W	-
YJL110C	YCR019W	+
YER028C	YCR019W	+
YHL027W	YCR019W	+
YFL031W	YCR019W	+
YJL089W	YCR019W	+
YOL067C	YCR019W	+
YER040W	YCR019W	+
YDL170W	YCR019W	+
YDR463W	YCR019W	+
YKL020C	YCR019W	-
YMR042W	YCR019W	+
YMR042W	YCR018CA	+
YJL089W	YCR018CA	+
YKL020C	YCR018CA	+
YFL021W	YCR018CA	-
YJL110C	YCR018CA	+
YOL067C	YCR018CA	+
YBL103C	YCR018CA	-
YHL027W	YCR018CA	-
YER040W	YCR018CA	+
YDR463W	YCR018CA	+
YER028C	YCR018CA	+
YLR451W	YCR018CA	-
YDL170W	YCR018CA	-
YFL031W	YCR018CA	+
YHL027W	YCR107W	-
YKL185W	YCR107W	-
YBL103C	YCR107W	-
YCR106W	YCR107W	-
YDL106C	YCR107W	+
YPL248C	YCR107W	+
YIL101C	YCR107W	+
YMR164C	YCR107W	-
YPR199C	YCR107W	+
YJL110C	YCR107W	+
YGR249W	YCR107W	+
YBR083W	YCR107W	+
YBR297W	YCR107W	+
YBL103C	YDR084C	+
YML099C	YDR084C	+
YOL067C	YDR084C	+
YKR099W	YDR084C	+
YOL089C	YDR084C	-
YKR034W	YDR084C	-
YDL170W	YDR084C	-
YJL110C	YDR084C	-
YDR463W	YDR084C	-
YCR106W	YDR084C	-
YML113W	YDR084C	+
YFL021W	YDR084C	-
YHL027W	YDR084C	-
YKL020C	YDR084C	+
YBL103C	YDR042C	+
YOL067C	YDR042C	+
YOR113W	YDR042C	+
YLR451W	YDR042C	-
YFL021W	YDR042C	+
YDR310C	YDR042C	+
YDR463W	YDR042C	-
YOL089C	YDR042C	+
YKR034W	YDR042C	-
YOR344C	YDR042C	-
YDR081C	YDR042C	+
YPL038W	YDR042C	-
YOR032C	YDR042C	+
YIL101C	YNL337W	+
YBR083W	YNL337W	+
YBR182C	YNL337W	+
YJL056C	YNL337W	-
YML113W	YNL337W	-
YDL170W	YNL337W	-
YJL110C	YNL337W	-
YLR451W	YNL337W	-
YPR196W	YNL337W	-
YPL248C	YNL337W	-
YKR034W	YNL337W	+
YOL089C	YNL337W	+
YLR013W	YNL337W	+
YCR097W	YCR039C	+
YJL056C	YCR039C	+
YPR199C	YCR039C	-
YCR096C	YCR039C	-
YHR006W	YCR039C	+
YKR034W	YCR039C	+
YLR098C	YCR039C	-
YDL170W	YCR039C	+
YJL110C	YCR039C	-
YLR013W	YCR039C	+
YLR451W	YDR077W	+
YBL103C	YDR077W	+
YER040W	YDR077W	+
YDL106C	YDR077W	+
YIL101C	YDR077W	+
YPL177C	YDR077W	-
YNL167C	YDR077W	-
YGL162W	YDR077W	+
YKL185W	YDR077W	-
YMR070W	YDR077W	+
YDR253C	YDR077W	+
YIL101C	YDR545W	+
YBR182C	YDR545W	+
YDR253C	YDR545W	+
YML113W	YDR545W	+
YDR310C	YDR545W	-
YKR034W	YDR545W	-
YJL056C	YDR545W	-
YJL110C	YDR545W	+
YDR146C	YDR545W	+
YLR013W	YDR545W	-
YDL170W	YDR545W	-
YPL248C	YDR545W	-
YML099C	YDR522C	+
YFL021W	YDR522C	+
YBR083W	YDR522C	+
YER040W	YDR522C	+
