0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
G1	0.5285928	0.4717949	0.5063265	0.5484233	0.6195351	0.6533005	0.6061300	0.6613783	0.6726953	0.7244584	0.6813290	0.6058137	0.6274559	0.4031816	0.4283977	0.4587951	0.5195555	0.3337431	0.4621512	0.4353564	0.4651229
G2	0.1702274	0.1101729	0.0812449	0.0799638	0.0407481	0.0380251	0.0434330	0.0321276	0.0260252	0.0131554	0.0271597	0.1424450	0.1533699	0.1941105	0.1884789	0.1952882	0.2121828	0.1524496	0.2086057	0.2016427	0.2691071
G3	0.7421411	0.7543994	0.7163560	0.6530044	0.6603034	0.6699125	0.8070044	0.6242466	0.6588440	0.7587386	0.8657346	0.8277620	0.7964808	0.6878940	0.7404344	0.6950933	0.6408673	0.7067286	0.7821740	0.7118634	0.7176154
G4	0.1970879	0.1711614	0.1558145	0.2360532	0.1791982	0.1501547	0.2625204	0.2107993	0.2171389	0.1746364	0.1770412	0.1935335	0.2019362	0.2075271	0.1963385	0.1439810	0.2369153	0.1853933	0.2197410	0.1705824	0.1600793
G5	0.6304039	0.3340262	0.2297266	0.2173433	0.2529437	0.1804611	0.1311325	0.1968984	0.2067817	0.2142019	0.2141548	0.4656382	0.7363163	0.7273468	0.7918300	0.7310278	0.7306629	0.6890756	0.6386428	0.7449230	0.7005952
G6	0.9460779	0.7901378	0.7526376	0.8030859	0.7040588	0.6975445	0.6587184	0.6994719	0.5749742	0.5619175	0.8788106	0.8143924	0.8362234	0.7670428	0.6066729	0.7943211	0.7569392	0.6538123	0.8189917	0.8233277	0.7532818
G7	0.3842889	0.2194595	0.0889330	0.1189394	0.0777703	0.1061823	0.1436851	0.1795044	0.2155971	0.1598495	0.0939065	0.3432248	0.4176783	0.2955272	0.3124046	0.3816472	0.3726267	0.4198402	0.3296071	0.3586797	0.3135935
G8	0.6945541	0.6267795	0.6493389	0.6664495	0.7388032	0.6886873	0.6722200	0.6354455	0.6921688	0.8699933	0.7166386	0.7791110	0.7975318	0.6430127	0.7648126	0.7417886	0.7955002	0.7874136	0.7434671	0.6974942	0.8717840
G9	0.7476627	0.6312481	0.7819808	0.5605940	0.6580898	0.7006494	0.7671855	0.6416840	0.6137308	0.6973311	0.7442683	0.7510184	0.7035948	0.6926812	0.8680701	0.7907115	0.6734691	0.7701480	0.8340005	0.6768666	0.8029524
G10	0.7142210	0.7628103	0.6899284	0.7393745	0.7703426	0.8631016	0.6498923	0.7822690	0.7871473	0.7914187	0.7799297	0.6736333	0.8214381	0.7622988	0.6766812	0.8157570	0.8386115	0.7262656	0.7869670	0.6657240	0.7219223
